id,trip_duration,start_time,stop_time,start_time_24hr,stop_time_24hr,start_time_weekday,stop_time_weekday,start_time_year,stop_time_year,start_time_month,stop_time_month,start_station_id,end_station_id,bike_id,user_type,birth_year,gender
80,245,36:20.6,40:26.5,19:36,19:40,03-Wed,03-Wed,2019,2019,2-Feb,2-Feb,175,110,29245,Subscriber,1990,1
81,341,04:50.2,10:31.4,20:04,20:10,03-Wed,03-Wed,2019,2019,2-Feb,2-Feb,175,32,26184,Subscriber,1957,1
82,383,32:38.5,39:01.8,20:32,20:39,03-Wed,03-Wed,2019,2019,2-Feb,2-Feb,175,180,29296,Subscriber,1991,1
83,263,47:16.7,51:40.0,20:47,20:51,03-Wed,03-Wed,2019,2019,2-Feb,2-Feb,175,110,29589,Subscriber,1993,1
84,751,47:29.2,00:00.2,20:47,21:00,03-Wed,03-Wed,2019,2019,2-Feb,2-Feb,175,36,29594,Subscriber,1992,2
85,255,23:24.7,27:39.9,21:23,21:27,03-Wed,03-Wed,2019,2019,2-Feb,2-Feb,175,188,29546,Subscriber,1980,1
86,323,40:00.6,45:24.5,21:40,21:45,03-Wed,03-Wed,2019,2019,2-Feb,2-Feb,175,32,26258,Subscriber,1984,1
87,281,23:29.5,28:10.8,22:23,22:28,03-Wed,03-Wed,2019,2019,2-Feb,2-Feb,175,110,29486,Subscriber,1981,0
88,132,23:37.7,25:50.5,22:23,22:25,03-Wed,03-Wed,2019,2019,2-Feb,2-Feb,175,65,29291,Subscriber,1994,1
89,330,40:14.8,45:45.0,22:40,22:45,03-Wed,03-Wed,2019,2019,2-Feb,2-Feb,175,110,29197,Subscriber,1988,2
90,158,09:02.2,11:40.4,23:09,23:11,03-Wed,03-Wed,2019,2019,2-Feb,2-Feb,175,65,29125,Subscriber,1990,1
91,506,31:14.2,39:40.8,23:31,23:39,03-Wed,03-Wed,2019,2019,2-Feb,2-Feb,175,51,26222,Subscriber,1988,1
92,272,04:14.7,08:46.7,8:04,8:08,04-Thu,04-Thu,2019,2019,2-Feb,2-Feb,175,188,29206,Subscriber,1986,1
93,360,49:06.7,55:07.5,11:49,11:55,04-Thu,04-Thu,2019,2019,2-Feb,2-Feb,175,110,26181,Subscriber,1962,1
94,403,20:37.8,27:21.8,12:20,12:27,04-Thu,04-Thu,2019,2019,2-Feb,2-Feb,175,67,29482,Subscriber,1969,0
95,2730,05:35.2,51:05.5,13:05,13:51,04-Thu,04-Thu,2019,2019,2-Feb,2-Feb,175,145,29485,Subscriber,1993,1
96,338,25:52.0,31:30.6,15:25,15:31,04-Thu,04-Thu,2019,2019,2-Feb,2-Feb,175,84,29220,Subscriber,1972,1
97,518,50:09.6,58:48.0,15:50,15:58,04-Thu,04-Thu,2019,2019,2-Feb,2-Feb,175,32,29272,Subscriber,1958,1
98,481,02:46.0,10:48.0,16:02,16:10,04-Thu,04-Thu,2019,2019,2-Feb,2-Feb,175,67,26199,Subscriber,1987,1
99,255,10:04.0,14:19.2,16:10,16:14,04-Thu,04-Thu,2019,2019,2-Feb,2-Feb,175,110,29546,Subscriber,1968,1
100,284,12:05.2,16:49.3,16:12,16:16,04-Thu,04-Thu,2019,2019,2-Feb,2-Feb,175,192,29200,Subscriber,1969,0
101,211,16:00.8,19:32.7,16:16,16:19,04-Thu,04-Thu,2019,2019,2-Feb,2-Feb,175,32,29678,Subscriber,1983,1
102,298,46:27.2,51:25.5,16:46,16:51,04-Thu,04-Thu,2019,2019,2-Feb,2-Feb,175,110,29197,Subscriber,1976,2
103,723,05:49.8,17:53.2,17:05,17:17,04-Thu,04-Thu,2019,2019,2-Feb,2-Feb,175,69,29575,Subscriber,1985,1
