start_time_month,Customer,Subscriber
1-Jan,1866.32,487.5677566949267
10-Oct,2728.3892652423137,475.6260188087774
11-Nov,3634.5909402882635,460.168278941214
12-Dec,3066.5367647058824,457.93731402499503
2-Feb,3563.5595567867035,497.02144115498646
3-Mar,3189.749560117302,477.298395763722
4-Apr,3469.0280373831774,513.0295426556203
5-May,4089.187039390089,577.0066751609593
6-Jun,3414.232485824035,591.2843447331343
7-Jul,2610.161287777164,553.2367136202929
8-Aug,3333.430813124108,567.846736785329
9-Sep,3374.8943876636185,526.0809188082784
