start_time_weekday,Customer,Subscriber
01-Mon,6024,122754
02-Tue,5218,132437
03-Wed,5804,136596
04-Thu,5227,129168
05-Fri,6240,123552
06-Sat,15048,83144
07-Sun,15095,75825
